listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22655931;218;60;2 szoba;2;0;5. ker;Belváros;jó állapotú;3;5;van;gáz (cirko);utcai;47.4943;19.05441;nincs megadva;nincs megadva;0;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22656511;170;93;2 szoba;2;0;7. ker;Középső-Erzsébetváros;felújított;2;3;van;házközponti egyedi méréssel;utcai;47.498405;19.07431;délkelet;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22659850;400;122;3 szoba;3;0;6. ker;Külső-Terézváros – Diplomatanegyed;jó állapotú;2;4;van;gáz (cirko);utcai;47.511406;19.075872;nincs megadva;utcán, közterületen - ingyenes;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nincs megadva
22653523;624;136;3 szoba;3;0;5. ker;Lipótváros;felújított;3;5;van;házközponti egyedi méréssel;utcai;47.51185;19.04875;nincs megadva;nincs megadva;;van;3 m vagy magasabb;luxus;külön és egyben is;nem tetőtéri
22647341;210;79;2 + fél szoba;2;1;7. ker;Középső-Erzsébetváros;felújított;2;3;nincs;gáz (cirko);nincs megadva;47.503635;19.07098;nincs megadva;utcán, közterületen - fizetős;;van;3 m vagy magasabb;összkomfortos;külön helyiségben;nincs megadva
22651458;170;66;2 szoba;2;0;7. ker;Középső-Erzsébetváros;felújított;1;4;van;gáz (cirko);utcai;47.502636;19.072369;nincs megadva;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22651119;250;87;3 szoba;3;0;6. ker;Külső-Terézváros;felújított;3;3;nincs;gáz (cirko);utcai;47.50879;19.06271;nyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nincs megadva
22648601;230;48;1 + fél szoba;1;1;6. ker;Belső-Terézváros;jó állapotú;1;6;van;házközponti;nincs megadva;47.49977;19.05752;nincs megadva;nincs megadva;;van;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22645868;199;75;2 szoba;2;0;6. ker;Belső-Terézváros;jó állapotú;4;nincs megadva;van;gáz (cirko);utcai;47.5042;19.05907;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;külön helyiségben;tetőtéri
22659714;150;74;1 + 2 fél szoba;1;2;6. ker;Belső-Terézváros;jó állapotú;4;földszintes;nincs megadva;gáz (cirko);nincs megadva;47.50779;19.059156;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;3 m-nél alacsonyabb;duplakomfortos;külön helyiségben;nincs megadva
22634807;155;40;2 szoba;2;0;7. ker;Belső-Erzsébetváros;felújított;2;3;nincs;elektromos;utcai;47.50018;19.06718;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22639621;220;80;3 szoba;3;0;5. ker;Belváros;felújított;3;3;van;gáz (cirko);utcai;47.49175;19.054825;nincs megadva;utcán, közterületen - fizetős;;nincs;3 m-nél alacsonyabb;összkomfortos;külön helyiségben;nem tetőtéri
22641535;95;31;1 szoba;1;0;7. ker;Külső-Erzsébetváros;nincs megadva;1;4;nincs megadva;gáz (konvektor);udvari;47.50297;19.08775;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;egy helyiségben;nincs megadva
22643034;130;55;2 szoba;2;0;6. ker;Külső-Terézváros;jó állapotú;2;4;nincs;elektromos;utcai;47.50927;19.06557;délnyugat;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22636097;270;85;3 szoba;3;0;5. ker;Lipótváros;felújított;2;nincs megadva;van;nincs megadva;nincs megadva;47.51095;19.047108;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22642220;110;50;1 szoba;1;0;7. ker;Belső-Erzsébetváros;újszerű;2;5;van;házközponti;utcai;47.495834;19.065235;nincs megadva;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;nincs megadva;külön helyiségben;nem tetőtéri
22645580;300;72;2 szoba;2;0;5. ker;Belváros;felújított;2;7;van;házközponti egyedi méréssel;utcai;47.493637;19.050558;kelet;nincs megadva;0;van;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22643473;360;123;3 szoba;3;0;7. ker;Külső-Erzsébetváros;újszerű;3;4;van;gáz (cirko);utcai;47.509956;19.081745;északnyugat;utcán, közterületen - ingyenes;;van;3 m vagy magasabb;luxus;külön helyiségben;nincs megadva
22635958;200;37;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.49861;19.06234;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22632899;450;82;2 szoba;2;0;5. ker;Belváros;újszerű;1;nincs megadva;van;gáz (cirko);udvari;47.496674;19.054085;nincs megadva;utcán, közterületen - fizetős;;nincs;nincs megadva;duplakomfortos;külön és egyben is;nem tetőtéri
22634974;200;82;2 + fél szoba;2;1;5. ker;Lipótváros;jó állapotú;4;5;van;gáz (cirko);utcai;47.50494;19.05261;nyugat;nincs megadva;;nincs;3 m vagy magasabb;duplakomfortos;külön és egyben is;nem tetőtéri
22635620;381;70;3 szoba;3;0;6. ker;Belső-Terézváros;új építésű;6;8;van;házközponti;utcai;47.499863;19.059372;nincs megadva;garázs - az árban;0;van;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22633600;203;54;2 + fél szoba;2;1;6. ker;Külső-Terézváros;felújított;1;3;van;gáz (cirko);utcai;47.50808;19.06766;északnyugat;utcán, közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
